Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Architecture,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status
31,chat,Qwen/Qwen2-72B-Instruct,42.91,0.8,0.7,0.38,0.37,0.46,0.54,,bfloat16,72.706B,other,37.55 kg,701,2024-05-28,2024-06-26,1,Qwen/Qwen2-72B,No,Yes,Yes,No,No
32,fine-tuned,abacusai/Dracarys-72B-Instruct,42.71,0.79,0.69,0.36,0.39,0.46,0.55,,bfloat16,72.706B,other,12.38 kg,20,2024-08-14,2024-08-16,0,abacusai/Dracarys-72B-Instruct,Yes,Yes,Yes,No,No
42,chat,meta-llama/Meta-Llama-3.1-70B-Instruct,42.18,0.87,0.69,0.31,0.36,0.46,0.53,,bfloat16,70.554B,llama3.1,26.80 kg,782,2024-07-16,2024-08-15,1,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No
48,chat,allenai/Llama-3.1-Tulu-3-70B,41.45,0.84,0.62,0.38,0.37,0.5,0.47,,float16,70.554B,llama3.1,38.02 kg,51,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B (Merge),Yes,Yes,Yes,No,No
49,chat,abacusai/Smaug-Qwen2-72B-Instruct,41.43,0.78,0.69,0.37,0.36,0.44,0.52,,bfloat16,72.706B,other,13.26 kg,9,2024-06-26,2024-07-29,0,abacusai/Smaug-Qwen2-72B-Instruct,Yes,Yes,Yes,No,No
55,chat,allenai/Llama-3.1-Tulu-3-70B-DPO,41.2,0.83,0.61,0.39,0.38,0.49,0.46,,bfloat16,70B,llama3.1,36.80 kg,9,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B-DPO (Merge),Yes,Yes,Yes,No,No
56,chat,allenai/Llama-3.1-Tulu-3-70B,41.2,0.83,0.62,0.38,0.37,0.49,0.46,,bfloat16,70.554B,llama3.1,36.59 kg,51,2024-11-20,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B (Merge),Yes,Yes,Yes,No,No
109,chat,upstage/solar-pro-preview-instruct,39.9,0.84,0.68,0.22,0.37,0.44,0.53,,bfloat16,22.14B,mit,1.74 kg,445,2024-09-09,2024-09-11,0,upstage/solar-pro-preview-instruct,Yes,Yes,Yes,No,No
148,chat,Qwen/Qwen2.5-Coder-32B-Instruct,38.75,0.73,0.66,0.43,0.35,0.44,0.44,,float16,32.764B,apache-2.0,4.69 kg,1562,2024-11-06,2024-12-10,1,Qwen/Qwen2.5-Coder-32B-Instruct (Merge),No,Yes,Yes,No,No
155,chat,allenai/Llama-3.1-Tulu-3-70B-SFT,38.72,0.81,0.6,0.32,0.34,0.5,0.46,,bfloat16,70.554B,llama3.1,27.34 kg,6,2024-11-18,2024-11-27,1,allenai/Llama-3.1-Tulu-3-70B-SFT (Merge),Yes,Yes,Yes,No,No
162,chat,mistralai/Mistral-Large-Instruct-2411,38.46,0.84,0.67,0.01,0.44,0.45,0.56,,float16,122.61B,other,26.27 kg,198,2024-11-14,2024-11-19,0,mistralai/Mistral-Large-Instruct-2411,Yes,Yes,Yes,No,No
167,pretrained,Qwen/Qwen2.5-72B,38.37,0.41,0.68,0.39,0.41,0.48,0.6,,bfloat16,72.706B,other,18.09 kg,57,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-72B,No,Yes,Yes,No,No
177,chat,Qwen/Qwen2.5-72B-Instruct,38.21,0.86,0.73,0.01,0.38,0.42,0.56,,bfloat16,72.706B,other,33.01 kg,710,2024-09-16,2024-10-16,1,Qwen/Qwen2.5-72B,Yes,Yes,Yes,No,No
185,pretrained,Qwen/Qwen2.5-32B,37.98,0.41,0.68,0.35,0.41,0.5,0.58,,bfloat16,32.764B,apache-2.0,5.87 kg,91,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-32B,No,Yes,Yes,No,No
190,multimodal,Qwen/Qwen2-VL-72B-Instruct,37.91,0.6,0.69,0.25,0.39,0.45,0.57,,bfloat16,73.406B,other,27.25 kg,273,2024-09-17,2024-10-20,1,Qwen/Qwen2-VL-72B-Instruct (Merge),Yes,Yes,Yes,No,No
204,merge,mlabonne/BigQwen2.5-52B-Instruct,37.56,0.79,0.71,0.19,0.3,0.41,0.55,,bfloat16,52.268B,apache-2.0,27.56 kg,5,2024-09-23,2024-09-25,1,mlabonne/BigQwen2.5-52B-Instruct (Merge),Yes,Yes,Yes,No,No
207,chat,NousResearch/Hermes-3-Llama-3.1-70B,37.48,0.77,0.68,0.15,0.36,0.49,0.47,,bfloat16,70.554B,llama3,11.21 kg,105,2024-07-29,2024-08-28,1,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No
241,chat,meta-llama/Llama-3.3-70B-Instruct,36.83,0.9,0.69,0.0,0.33,0.45,0.53,,bfloat16,70.554B,llama3.3,38.28 kg,1871,2024-11-26,2024-12-03,1,meta-llama/Llama-3.3-70B-Instruct (Merge),Yes,Yes,Yes,No,No
261,chat,meta-llama/Meta-Llama-3-70B-Instruct,36.51,0.81,0.65,0.25,0.29,0.42,0.52,,bfloat16,70.554B,llama3,18.24 kg,1458,2024-04-17,2024-06-12,1,meta-llama/Meta-Llama-3-70B,Yes,Yes,Yes,No,No
282,chat,Qwen/Qwen2.5-32B-Instruct,36.17,0.83,0.69,0.0,0.34,0.43,0.57,,bfloat16,32.764B,apache-2.0,5.75 kg,189,2024-09-17,2024-09-19,1,Qwen/Qwen2.5-32B,Yes,Yes,Yes,No,No
312,fine-tuned,cognitivecomputations/dolphin-2.9.2-qwen2-72b,35.75,0.63,0.63,0.21,0.37,0.45,0.55,,bfloat16,72B,other,25.12 kg,152,2024-05-27,2024-10-20,1,Qwen/Qwen2-72B,Yes,Yes,Yes,No,No
325,fine-tuned,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,35.53,0.44,0.59,0.41,0.39,0.54,0.47,,bfloat16,14.77B,mit,2.00 kg,338,2025-01-20,2025-01-20,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,No,Yes,Yes,No,No
326,pretrained,Qwen/Qwen2-72B,35.48,0.38,0.66,0.31,0.39,0.47,0.57,,bfloat16,72.706B,other,64.06 kg,196,2024-05-22,2024-06-26,0,Qwen/Qwen2-72B,No,Yes,Yes,No,No
329,chat,microsoft/Phi-3.5-MoE-instruct,35.46,0.69,0.64,0.23,0.36,0.46,0.47,,bfloat16,42B,mit,4.63 kg,551,2024-08-17,2024-08-21,0,microsoft/Phi-3.5-MoE-instruct,Yes,Yes,Yes,Yes,No
340,chat,tiiuae/Falcon3-10B-Instruct,35.19,0.78,0.62,0.26,0.33,0.43,0.44,,bfloat16,10.306B,other,0.84 kg,88,2024-12-14,2024-12-16,1,tiiuae/Falcon3-10B-Base,Yes,Yes,Yes,No,No
344,chat,Qwen/Qwen2-Math-72B-Instruct,35.15,0.57,0.63,0.38,0.37,0.45,0.43,,bfloat16,72.706B,other,12.17 kg,87,2024-08-08,2024-08-19,0,Qwen/Qwen2-Math-72B-Instruct,Yes,Yes,Yes,No,No
349,chat,abacusai/Smaug-Llama-3-70B-Instruct-32K,35.02,0.78,0.65,0.23,0.3,0.42,0.48,,bfloat16,70.554B,llama3,13.30 kg,21,2024-06-11,2024-08-06,0,abacusai/Smaug-Llama-3-70B-Instruct-32K,Yes,Yes,Yes,No,No
353,chat,tiiuae/Falcon3-7B-Instruct,34.91,0.76,0.56,0.32,0.31,0.48,0.41,,bfloat16,7.456B,other,0.62 kg,49,2024-11-29,2024-12-16,1,tiiuae/Falcon3-7B-Base,Yes,Yes,Yes,No,No
368,chat,nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,34.58,0.74,0.63,0.29,0.26,0.43,0.49,,bfloat16,70.554B,llama3.1,13.63 kg,2014,2024-10-12,2024-10-16,2,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No
380,chat,microsoft/phi-4,34.25,0.68,0.69,0.12,0.34,0.41,0.54,,bfloat16,14.66B,mit,1.88 kg,1691,2024-12-11,2025-01-08,0,microsoft/phi-4,Yes,Yes,Yes,No,No
387,chat,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,34.06,0.65,0.63,0.2,0.38,0.45,0.46,,float16,140.621B,apache-2.0,42.07 kg,265,2024-04-10,2024-06-12,1,mistral-community/Mixtral-8x22B-v0.1,Yes,Yes,Yes,No,No
400,chat,mistralai/Mixtral-8x22B-Instruct-v0.1,33.89,0.72,0.61,0.19,0.37,0.43,0.45,,bfloat16,140.621B,apache-2.0,47.15 kg,710,2024-04-16,2024-06-12,1,mistralai/Mixtral-8x22B-v0.1,Yes,Yes,Yes,Yes,No
419,chat,CohereForAI/c4ai-command-r-plus-08-2024,33.58,0.75,0.6,0.12,0.35,0.48,0.44,,float16,103.811B,cc-by-nc-4.0,22.32 kg,227,2024-08-21,2024-09-19,0,CohereForAI/c4ai-command-r-plus-08-2024,Yes,Yes,Yes,No,No
446,pretrained,Qwen/Qwen2.5-Coder-32B,33.21,0.44,0.64,0.31,0.35,0.45,0.53,,float16,32.764B,apache-2.0,4.69 kg,100,2024-11-08,2024-12-10,1,Qwen/Qwen2.5-Coder-32B (Merge),No,Yes,Yes,No,No
473,chat,microsoft/Phi-3-medium-4k-instruct,32.9,0.64,0.64,0.18,0.34,0.43,0.47,,bfloat16,13.96B,mit,1.46 kg,215,2024-05-07,2024-06-12,0,microsoft/Phi-3-medium-4k-instruct,Yes,Yes,Yes,No,No
474,chat,01-ai/Yi-1.5-34B-Chat,32.89,0.61,0.61,0.25,0.36,0.43,0.45,,bfloat16,34.389B,apache-2.0,11.21 kg,265,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-34B-Chat,Yes,Yes,Yes,No,No
479,fine-tuned,Qwen/Qwen2.5-14B-Instruct-1M,32.84,0.84,0.62,0.01,0.34,0.42,0.48,,bfloat16,14.77B,apache-2.0,1.64 kg,229,2025-01-23,2025-01-26,1,Qwen/Qwen2.5-14B,Yes,Yes,Yes,No,No
501,chat,google/gemma-2-27b-it,32.32,0.8,0.65,0.01,0.38,0.4,0.45,,bfloat16,27.227B,gemma,4.83 kg,516,2024-06-24,2024-08-07,1,google/gemma-2-27b,Yes,Yes,Yes,No,No
513,chat,Qwen/Qwen2.5-14B-Instruct,32.18,0.82,0.64,0.0,0.32,0.41,0.49,,bfloat16,14.77B,apache-2.0,1.77 kg,181,2024-09-16,2024-09-18,1,Qwen/Qwen2.5-14B,Yes,Yes,Yes,No,No
520,chat,internlm/internlm2_5-20b-chat,32.08,0.7,0.75,0.0,0.32,0.46,0.4,,bfloat16,19.86B,other,3.73 kg,89,2024-07-30,2024-08-12,0,internlm/internlm2_5-20b-chat,Yes,Yes,Yes,No,No
540,pretrained,Qwen/Qwen2.5-14B,31.75,0.37,0.62,0.28,0.38,0.45,0.52,,bfloat16,14.77B,apache-2.0,5.59 kg,83,2024-09-15,2024-09-19,0,Qwen/Qwen2.5-14B,No,Yes,Yes,No,No
544,chat,microsoft/Phi-3-medium-128k-instruct,31.71,0.6,0.64,0.17,0.34,0.41,0.47,,bfloat16,13.96B,mit,1.95 kg,378,2024-05-07,2024-08-21,0,microsoft/Phi-3-medium-128k-instruct,Yes,Yes,Yes,No,No
554,fine-tuned,mlabonne/Hermes-3-Llama-3.1-70B-lorablated,31.54,0.34,0.67,0.21,0.37,0.5,0.47,,bfloat16,70.554B,-,30.88 kg,26,2024-08-16,2024-11-27,1,mlabonne/Hermes-3-Llama-3.1-70B-lorablated (Merge),No,Yes,Yes,No,No
570,chat,Qwen/Qwen2.5-Coder-14B-Instruct,31.18,0.69,0.61,0.27,0.3,0.39,0.39,,bfloat16,14.77B,apache-2.0,1.38 kg,78,2024-11-06,2024-11-12,1,Qwen/Qwen2.5-Coder-14B-Instruct (Merge),Yes,Yes,Yes,No,No
578,chat,CohereForAI/c4ai-command-r7b-12-2024,31.08,0.77,0.55,0.27,0.31,0.41,0.36,,bfloat16,8.028B,cc-by-nc-4.0,2.45 kg,351,2024-12-11,2024-12-20,0,CohereForAI/c4ai-command-r7b-12-2024,Yes,Yes,Yes,No,No
586,chat,CohereForAI/c4ai-command-r-plus,30.96,0.77,0.58,0.08,0.31,0.48,0.4,,float16,103.811B,cc-by-nc-4.0,28.63 kg,1704,2024-04-03,2024-06-13,0,CohereForAI/c4ai-command-r-plus,Yes,Yes,Yes,No,No
614,fine-tuned,nvidia/AceInstruct-72B,30.66,0.71,0.61,0.04,0.32,0.42,0.49,,bfloat16,72.706B,cc-by-nc-4.0,40.39 kg,11,2025-01-15,2025-01-24,0,nvidia/AceInstruct-72B,Yes,Yes,Yes,No,No
620,chat,internlm/internlm2_5-7b-chat,30.58,0.61,0.71,0.09,0.33,0.44,0.37,,float16,7.738B,other,1.45 kg,187,2024-06-27,2024-07-03,0,internlm/internlm2_5-7b-chat,Yes,Yes,Yes,No,No
622,chat,ibm-granite/granite-3.1-8b-instruct,30.55,0.72,0.54,0.22,0.31,0.47,0.35,,float16,8.171B,apache-2.0,0.62 kg,137,2024-12-06,2024-12-16,1,ibm-granite/granite-3.1-8b-instruct (Merge),Yes,Yes,Yes,No,No
626,chat,Qwen/QwQ-32B-Preview,30.44,0.4,0.67,0.23,0.28,0.41,0.57,,bfloat16,32.764B,apache-2.0,10.21 kg,1608,2024-11-27,2024-11-29,2,Qwen/Qwen2.5-32B,Yes,Yes,Yes,No,No
634,merge,mlabonne/BigQwen2.5-Echo-47B-Instruct,30.32,0.74,0.61,0.04,0.31,0.41,0.47,,bfloat16,47.392B,apache-2.0,8.52 kg,3,2024-09-23,2024-09-24,1,mlabonne/BigQwen2.5-Echo-47B-Instruct (Merge),Yes,Yes,Yes,No,No
690,pretrained,Qwen/Qwen1.5-110B,29.85,0.34,0.61,0.25,0.35,0.44,0.54,,bfloat16,111.21B,other,71.27 kg,93,2024-04-25,2024-06-13,0,Qwen/Qwen1.5-110B,No,Yes,Yes,No,No
697,fine-tuned,mistralai/Mistral-Small-Instruct-2409,29.82,0.63,0.58,0.2,0.33,0.41,0.41,,float16,22.247B,other,1.61 kg,378,2024-09-17,2024-09-25,0,mistralai/Mistral-Small-Instruct-2409,No,Yes,Yes,No,No
698,chat,Qwen/Qwen2-57B-A14B-Instruct,29.78,0.63,0.59,0.09,0.33,0.44,0.46,,bfloat16,57.409B,apache-2.0,42.51 kg,79,2024-06-04,2024-08-14,1,Qwen/Qwen2-57B-A14B,Yes,Yes,Yes,No,No
710,chat,microsoft/Phi-3-small-8k-instruct,29.67,0.65,0.62,0.03,0.31,0.46,0.45,,bfloat16,7.392B,mit,1.03 kg,160,2024-05-07,2024-06-13,0,microsoft/Phi-3-small-8k-instruct,Yes,Yes,Yes,No,No
714,chat,Qwen/Qwen2.5-Math-72B-Instruct,29.65,0.4,0.65,0.19,0.33,0.45,0.48,,bfloat16,72.706B,other,28.68 kg,24,2024-09-16,2024-09-29,2,Qwen/Qwen2.5-72B,Yes,Yes,Yes,No,No
727,fine-tuned,abacusai/Smaug-72B-v0.1,29.57,0.52,0.6,0.18,0.32,0.45,0.46,,bfloat16,72.289B,other,38.82 kg,468,2024-02-02,2024-06-12,1,moreh/MoMo-72B-lora-1.8.7-DPO,No,Yes,Yes,No,No
735,pretrained,microsoft/phi-4,29.48,0.05,0.67,0.28,0.4,0.5,0.53,,float16,14.66B,mit,0.88 kg,1691,2024-12-11,2025-01-08,0,microsoft/phi-4,No,Yes,Yes,No,No
750,chat,CohereForAI/aya-expanse-32b,29.39,0.73,0.56,0.13,0.33,0.39,0.41,,float16,32.296B,cc-by-nc-4.0,5.52 kg,206,2024-10-23,2024-10-24,0,CohereForAI/aya-expanse-32b,Yes,Yes,Yes,No,No
768,chat,01-ai/Yi-1.5-34B-Chat-16K,29.24,0.46,0.61,0.2,0.34,0.44,0.45,,bfloat16,34.389B,apache-2.0,3.39 kg,26,2024-05-15,2024-07-15,0,01-ai/Yi-1.5-34B-Chat-16K,Yes,Yes,Yes,No,No
770,chat,Qwen/Qwen1.5-110B-Chat,29.22,0.59,0.62,0.0,0.34,0.45,0.48,,bfloat16,111.21B,other,72.57 kg,123,2024-04-25,2024-06-12,0,Qwen/Qwen1.5-110B-Chat,Yes,Yes,Yes,No,No
805,chat,google/gemma-2-9b-it,28.86,0.74,0.6,0.0,0.36,0.41,0.39,,bfloat16,9B,gemma,5.01 kg,645,2024-06-24,2024-07-11,1,google/gemma-2-9b,Yes,Yes,Yes,No,No
844,chat,microsoft/Phi-3-small-128k-instruct,28.59,0.64,0.62,0.0,0.32,0.44,0.45,,bfloat16,7.392B,mit,2.51 kg,173,2024-05-07,2024-06-13,0,microsoft/Phi-3-small-128k-instruct,Yes,Yes,Yes,No,No
868,multimodal,rhymes-ai/Aria,28.35,0.48,0.57,0.16,0.36,0.43,0.44,,bfloat16,25.307B,apache-2.0,7.75 kg,611,2024-09-26,2024-10-10,1,rhymes-ai/Aria (Merge),Yes,Yes,Yes,Yes,No
883,chat,meta-llama/Meta-Llama-3.1-8B-Instruct,28.2,0.79,0.51,0.19,0.27,0.39,0.38,,bfloat16,8.03B,llama3.1,2.49 kg,3582,2024-07-18,2024-08-15,1,meta-llama/Meta-Llama-3.1-8B,Yes,Yes,Yes,No,No
911,fine-tuned,cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,27.9,0.39,0.61,0.16,0.34,0.46,0.45,,bfloat16,34.389B,apache-2.0,2.99 kg,34,2024-05-18,2024-07-27,1,01-ai/Yi-1.5-34B,Yes,Yes,Yes,No,No
914,chat,01-ai/Yi-1.5-9B-Chat,27.89,0.6,0.56,0.13,0.33,0.43,0.4,,bfloat16,8.829B,apache-2.0,0.73 kg,139,2024-05-10,2024-06-12,0,01-ai/Yi-1.5-9B-Chat,Yes,Yes,Yes,No,No
933,chat,tiiuae/Falcon3-Mamba-7B-Instruct,27.64,0.72,0.47,0.27,0.3,0.39,0.34,,bfloat16,7.273B,other,0.83 kg,20,2024-12-13,2024-12-13,1,tiiuae/Falcon3-Mamba-7B-Instruct (Merge),Yes,Yes,Yes,No,No
935,pretrained,tiiuae/Falcon3-10B-Base,27.59,0.36,0.6,0.25,0.35,0.44,0.42,,bfloat16,10.306B,other,0.81 kg,33,2024-12-03,2024-12-12,0,tiiuae/Falcon3-10B-Base,No,Yes,Yes,No,No
936,chat,microsoft/Phi-3.5-mini-instruct,27.57,0.58,0.55,0.16,0.34,0.4,0.4,,bfloat16,3.821B,mit,3.70 kg,790,2024-08-16,2024-08-21,0,microsoft/Phi-3.5-mini-instruct,Yes,Yes,Yes,No,No
945,chat,microsoft/Phi-3-mini-4k-instruct,27.41,0.55,0.55,0.15,0.33,0.43,0.4,,float16,3.821B,mit,0.79 kg,1128,2024-04-22,2024-07-02,0,microsoft/Phi-3-mini-4k-instruct,Yes,Yes,Yes,No,No
958,chat,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,27.29,0.59,0.55,0.12,0.32,0.46,0.37,,bfloat16,46.703B,apache-2.0,12.87 kg,421,2024-01-11,2024-07-27,1,mistralai/Mixtral-8x7B-v0.1,Yes,Yes,Yes,Yes,No
966,chat,Qwen/Qwen1.5-32B-Chat,27.19,0.55,0.61,0.07,0.31,0.42,0.45,,bfloat16,32.512B,other,46.06 kg,108,2024-04-03,2024-06-12,0,Qwen/Qwen1.5-32B-Chat,Yes,Yes,Yes,No,No
970,merge,mlabonne/NeuralDaredevil-8B-abliterated,27.15,0.76,0.51,0.09,0.31,0.4,0.38,,float16,8.03B,llama3,2.71 kg,176,2024-05-27,2024-07-25,0,mlabonne/NeuralDaredevil-8B-abliterated,Yes,Yes,Yes,No,No
979,fine-tuned,cognitivecomputations/dolphin-2.9.3-Yi-1.5-34B-32k,27.07,0.36,0.6,0.17,0.34,0.43,0.46,,bfloat16,34B,apache-2.0,3.25 kg,18,2024-06-23,2024-07-27,1,01-ai/Yi-1.5-34B-32k,Yes,Yes,Yes,No,No
980,pretrained,mistralai/Mistral-Small-24B-Base-2501,27.07,0.17,0.64,0.19,0.39,0.42,0.54,,bfloat16,23.572B,apache-2.0,2.86 kg,200,2025-01-23,2025-01-30,0,mistralai/Mistral-Small-24B-Base-2501,No,Yes,Yes,No,No
982,pretrained,Qwen/Qwen1.5-32B,27.02,0.33,0.57,0.29,0.33,0.43,0.45,,bfloat16,32.512B,other,59.97 kg,83,2024-04-01,2024-06-13,0,Qwen/Qwen1.5-32B,No,Yes,Yes,No,No
986,chat,deepseek-ai/deepseek-llm-67b-chat,27.0,0.56,0.52,0.07,0.32,0.51,0.39,,bfloat16,67B,other,59.82 kg,193,2023-11-29,2024-06-12,0,deepseek-ai/deepseek-llm-67b-chat,Yes,Yes,Yes,No,No
998,chat,Qwen/Qwen2.5-7B-Instruct,26.87,0.76,0.54,0.0,0.29,0.4,0.43,,bfloat16,7.616B,apache-2.0,2.17 kg,464,2024-09-16,2024-09-18,1,Qwen/Qwen2.5-7B,Yes,Yes,Yes,No,No
1019,pretrained,01-ai/Yi-1.5-34B-32K,26.68,0.31,0.6,0.15,0.36,0.44,0.47,,bfloat16,34.389B,apache-2.0,11.58 kg,36,2024-05-15,2024-06-12,0,01-ai/Yi-1.5-34B-32K,No,Yes,Yes,No,No
1022,pretrained,meta-llama/Meta-Llama-3-70B,26.67,0.16,0.65,0.18,0.4,0.45,0.47,,bfloat16,70.554B,llama3,23.41 kg,848,2024-04-17,2024-06-12,0,meta-llama/Meta-Llama-3-70B,No,Yes,Yes,No,No
1038,chat,tiiuae/Falcon3-3B-Instruct,26.55,0.7,0.48,0.25,0.29,0.41,0.3,,bfloat16,3.228B,other,0.48 kg,24,2024-12-14,2024-12-16,0,tiiuae/Falcon3-3B-Instruct,Yes,Yes,Yes,No,No
1055,chat,mistralai/Mistral-Small-Instruct-2409,26.26,0.67,0.52,0.14,0.32,0.36,0.4,,bfloat16,22.05B,other,1.38 kg,378,2024-09-17,2024-09-19,0,mistralai/Mistral-Small-Instruct-2409,Yes,Yes,Yes,No,No
1057,pretrained,meta-llama/Meta-Llama-3.1-70B,26.2,0.17,0.63,0.18,0.39,0.46,0.47,,bfloat16,70.554B,llama3.1,13.60 kg,344,2024-07-14,2024-07-23,0,meta-llama/Meta-Llama-3.1-70B,Yes,Yes,Yes,No,No
1058,chat,speakleash/Bielik-11B-v2.3-Instruct,26.19,0.56,0.57,0.08,0.34,0.45,0.34,,float16,11.169B,apache-2.0,0.91 kg,36,2024-08-30,2024-10-16,1,speakleash/Bielik-11B-v2.3-Instruct (Merge),Yes,Yes,Yes,No,No
1062,fine-tuned,Qwen/Qwen2.5-7B-Instruct-1M,26.14,0.74,0.54,0.04,0.3,0.41,0.35,,bfloat16,7.616B,apache-2.0,0.63 kg,186,2025-01-23,2025-01-26,1,Qwen/Qwen2.5-7B,Yes,Yes,Yes,No,No
1076,chat,allenai/Llama-3.1-Tulu-3-8B,26.03,0.83,0.4,0.2,0.3,0.42,0.28,,bfloat16,8.03B,llama3.1,0.70 kg,142,2024-11-20,2024-11-21,1,allenai/Llama-3.1-Tulu-3-8B (Merge),Yes,Yes,Yes,No,No
1082,chat,microsoft/Phi-3-mini-4k-instruct,25.97,0.56,0.57,0.12,0.32,0.4,0.39,,bfloat16,3.821B,mit,0.80 kg,1128,2024-04-22,2024-06-12,0,microsoft/Phi-3-mini-4k-instruct,Yes,Yes,Yes,No,No
1094,chat,allenai/Llama-3.1-Tulu-3-8B,25.88,0.83,0.41,0.19,0.3,0.42,0.28,,float16,8.03B,llama3.1,0.70 kg,142,2024-11-20,2024-11-28,1,allenai/Llama-3.1-Tulu-3-8B (Merge),Yes,Yes,Yes,No,No
