claude-3-5-haiku-20241022,0.9,0.25,1,0.55,1,0.55,0.7,0.8,0.95,0.72,,0.75,0.8,0.85,0.75,1,0.85,,,0.9,1,0.72,1,1,,0.9,1,0.95,0.95,0.8,0.91,0.9,1,0.89,0.95,0.9,1,0.9,1,1,0.85,0.95,1,1,1,0.95,1,0.95,1,1,1,1,1,1,1,0.95,1,1
gpt-4-1106-preview -,0.89,0.7,1,0.8,1,0.55,0.65,0.6,0.9,,0.82,0.79,0.7,0.8,0.85,0.85,0.8,0.75,1,1,1,0.73,0.95,0.97,0.95,0.8,1,0.85,0.95,0.8,0.84,0.85,0.85,0.82,1,0.85,0.85,0.85,1,1,0.9,0.95,1,1,0.9,1,1,0.95,1,1,1,1,1,1,1,1,0.99,1
gpt-4o-2024-08-06,0.88,0.85,1,,1,0.45,0.5,0.6,0.95,0.75,0.7,0.79,0.5,0.75,0.95,0.86,0.95,0.78,0.95,0.85,0.95,0.75,1,0.95,0.95,0.85,1,0.78,1,0.75,0.91,0.8,0.75,0.88,0.95,0.8,0.8,0.9,1,1,0.95,0.95,1,1,1,0.9,1,0.95,1,0.9,0.95,1,1,1,0.95,1,1,1
claude-3-haiku-20240307,0.87,0.3,1,,1,0.65,0.6,0.25,0.8,0.7,,0.8,0.75,0.8,0.75,0.99,0.85,0.9,0.95,0.9,0.9,0.73,1,1,0.9,0.85,0.75,0.85,0.95,0.85,0.95,0.85,1,0.86,0.95,0.7,1,0.9,0.95,1,0.85,0.85,1,1,1,0.95,1,0.97,1,1,1,1,1,1,1,1,1,1
gpt-4o-mini-2024-07-18,0.85,,1,,1,0.35,0.6,0.5,0.95,0.55,0.75,0.79,0.5,0.75,0.9,0.78,0.75,0.8,0.9,0.85,0.75,0.83,1,0.8,1,0.8,1,0.85,0.95,0.75,0.83,0.85,0.85,0.93,0.9,0.85,0.8,0.8,1,1,0.85,0.85,1,0.95,1,0.95,0.85,0.95,1,0.95,1,0.95,0.99,1,0.9,1,1,1
meta-llama-3-8b-instruct,0.82,0.25,1,,1,0.4,0.4,0.7,0.1,0.5,0.57,0.7,0.9,0.75,0.5,0.5,0.75,0.8,0.85,0.85,0.9,0.63,0.7,1,0.85,0.95,0.7,0.7,0.7,0.9,0.91,0.95,1,0.85,1,0.75,1,0.95,0.95,1,0.8,1,1,1,0.8,0.95,1,0.95,1,0.95,0.95,0.95,1,1,1,1,1,1
gemma-2-9b-it,0.81,,,,0.25,0.55,0.6,0.8,0.9,,0.53,0.6,0.35,0.7,0.75,1,0.7,0.53,0.8,0.9,0.95,0.74,0.6,0.97,0.9,0.6,0.7,0.8,1,0.95,0.89,0.85,0.65,0.85,1,0.8,1,0.95,1,1,1,0.9,1,0.95,1,0.9,1,0.95,1,1,1,1,1,1,1,1,0.99,0.95
gemini-1.5-pro,0.8,0.25,0,0.57,0,0.55,0.35,0.5,0.1,0.9,0.7,0.65,,0.65,0.85,0.5,0.7,0.5,0.83,0.75,0.95,0.73,0.7,0.95,0.9,0.7,0.85,0.88,1,0.85,0.86,1,0.8,0.94,1,0.7,1,1,1,1,0.95,0.9,1,1,0.95,1,1,1,1,0.95,1,1,1,1,1,1,0.99,1
deepseek-v2-chat,0.8,0.45,0.15,,0.2,0.45,0.7,0.15,0.1,0.68,0.5,0.4,0.75,0.7,0.9,0.5,0.85,0.95,0.7,0.8,0.9,0.74,1,0.85,0.85,0.85,,0.85,0.75,0.7,0.89,0.85,0.95,0.81,0.95,0.8,1,1,1,1,0.95,0.95,1,1,0.9,1,1,1,1,1,1,0.9,1,1,1,1,1,1
qwen-turbo,0.79,0.4,0.1,0.45,0.05,0.35,,0.1,0.95,0.55,0.65,0.55,0.65,0.55,0.7,0.91,0.5,0.61,0.74,0.7,0.9,0.82,0.7,0.95,0.8,0.8,0.75,0.8,1,0.8,0.86,0.85,0.95,0.82,0.95,0.9,0.9,0.8,1,1,0.95,0.95,0.95,1,0.95,1,1,0.95,1,1,1,0.95,1,0.9,1,1,0.99,1
Ilama-3.2-3b-instruct-,0.79,0.35,1,0.68,1,0.35,0.7,0.45,1,0.25,0.35,0.53,0.8,0.75,0.45,0.85,0.6,0.8,0.8,0.85,0.8,0.67,0.65,0.95,0.75,0.95,0.35,0.75,0.5,0.75,0.91,0.85,1,0.78,0.85,0.95,0.9,0.85,0.9,1,0.9,0.85,1,1,1,0.8,0.9,0.78,1,0.9,0.95,1,0.6,,1,0.95,1,1
gpt-3.5-turbo-0613,0.78,0.35,0,0.47,0.1,0.4,0.5,0.4,0.95,0.75,0.45,0.79,0.55,0.85,0.6,0.55,0.75,0.65,0.95,0.8,0.75,0.72,0.95,0.95,0.75,0.7,0.75,0.65,0.7,0.75,0.9,0.55,0.7,0.8,0.95,0.85,1,0.8,1,1,1,0.9,1,0.9,1,0.85,1,0.95,1,0.95,1,1,0.95,1,1,1,1,1
glm-4-air,0.77,0.15,0.06,,0.15,0.45,0.35,0.6,0.95,0.57,0.75,,,0.55,0.75,0.8,0.45,0.65,0.6,0.9,0.7,0.69,0.5,0.7,1,0.7,,0.9,1,0.9,0.81,0.8,0.7,0.81,0.9,0.65,0.8,0.85,1,0.95,1,0.95,0.95,1,0.95,0.95,0.95,0.9,0.95,1,1,0.95,1,,1,1,1,0.95
k2-chat,0.77,0.25,0.05,,,,0.26,0.6,0.1,0.33,,0.37,,0.4,0.55,0.5,0.75,0.95,0.9,0.8,0.65,0.8,0.85,0.95,0.5,1,,0.85,0.75,0.8,0.87,1,1,0.78,0.9,0.9,0.9,1,1,1,1,1,0.95,1,0.85,1,0.95,0.95,1,0.9,0.95,1,1,1,0.95,1,0.99,1
granite-3.0-8b-instruct-,0.75,0.2,0.15,,0.15,0.45,0.32,0.55,0.1,0.55,0.6,0.45,0.8,0.45,0.4,0.5,0.8,0.6,0.75,0.9,0.55,,0.55,0.7,1,0.85,0.8,0.85,0.75,0.8,0.86,0.9,0.8,0.79,0.95,0.95,0.9,0.9,0.8,0.95,1,0.95,0.95,0.9,0.95,0.9,0.9,1,1,0.95,0.8,1,1,0.9,1,1,0.99,1
chatglm3-6b,0.75,0.1,0.5,0.13,0.6,0.45,0.63,0.25,0.2,,0.28,0.5,,0.6,0.25,0.5,0.75,0.8,,,0.5,0.79,0.8,0.95,0.85,0.85,,0.8,0.5,0.85,0.92,0.95,0.8,0.88,0.95,0.9,0.9,0.9,0.8,1,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.9,1,1,1,1,0.85,0.99,1
yi-spark,0.75,0.1,0.5,,0.2,0.35,0.45,0.6,0.95,,0.65,0.75,0.35,0.6,0.75,0.57,0.65,0.35,0.4,,0.55,0.79,0.8,0.65,0.95,0.75,0.8,0.85,1,0.7,0.83,0.65,0.65,0.79,0.7,0.8,0.8,0.88,0.95,1,0.9,0.9,0.85,0.9,1,0.95,0.95,0.95,1,0.95,0.95,0.85,1,1,1,1,0.99,1
mixtral-8x7b-instruct-v0.1,0.75,0.15,0.1,,0.2,0.65,0.37,0.3,0.1,0.5,0.63,0.5,0.7,0.55,0.85,0.5,0.4,,0.75,0.75,0.95,0.77,0.55,0.65,0.65,0.8,,0.85,0.8,0.75,0.8,0.8,0.9,0.86,0.85,1,0.95,1,0.85,0.9,0.95,0.95,0.9,0.95,0.9,1,1,1,1,1,,,0.95,0.85,1,1,1,1
deepseek-chat,0.74,0.35,0,0.03,0.15,0.25,0.4,0.45,0.95,0.6,0.7,0.85,0.55,0.55,0.65,0.49,0.65,0.58,0.5,0.6,0.8,0.7,0.8,0.55,0.9,0.6,0.95,0.85,1,0.75,0.72,0.7,0.85,0.81,0.9,0.8,0.75,0.75,0.9,0.9,0.9,0.85,0.95,0.95,0.85,0.95,0.9,0.9,1,0.85,1,0.95,1,0.85,1,1,0.99,1
dbrx-instruct,0.73,0.05,0.5,0.6,0.35,0.5,0.45,0.25,0.1,0.6,0.55,0.45,0.55,0.3,0.7,0.5,0.5,0.7,0.6,0.6,0.95,0.73,0.35,0.75,0.9,0.75,0.85,0.85,0.8,0.85,0.61,,0.75,0.86,0.7,1,0.8,0.85,0.95,0.65,0.85,0.9,0.85,0.7,0.85,0.95,1,0.95,0.95,1,0.95,1,1,0.95,1,1,1,1
glm-4-flash,0.72,,0,0.33,0.05,0.4,0.4,0.6,0.93,0.53,0.47,0.71,0.45,0.6,0.5,0.7,0.6,0.55,0.45,0.65,0.4,0.78,0.45,0.7,0.75,0.75,1,0.75,0.9,0.9,0.74,0.75,0.65,0.82,0.7,0.95,0.8,0.75,0.9,0.95,0.95,0.9,0.8,1,0.95,0.95,0.8,0.95,0.95,1,1,0.95,1,,1,1,0.99,1
falcon-mamba-7b-instruct-,0.7,0.3,0.25,,0.4,0.45,0.16,0.65,0.1,0.42,0.5,0.26,0.5,0.65,0.85,0.5,0.65,0.8,0.65,0.65,0.6,0.75,0.7,0.45,0.1,0.8,0.7,0.7,0.55,0.8,0.8,0.7,0.85,0.79,0.6,0.9,0.8,0.85,0.8,0.8,0.85,0.85,0.9,0.75,0.95,0.95,0.95,0.95,1,0.9,0.8,0.9,1,0.9,1,1,0.99,1
jais-family-30b-8k-chat,0.65,,0.1,0.28,,0.5,0.42,0.75,0.05,0.4,0.38,0.5,0.6,0.6,0.45,0.5,0.5,0.7,0.45,0.25,0.35,0.78,0.7,0.35,,0.75,0.65,0.7,0.75,0.85,0.71,0.75,0.75,0.8,0.6,0.85,0.85,0.7,0.55,,0.8,0.8,0.85,0.6,0.85,,0.9,0.95,0.85,0.75,0.8,0.8,0.8,0.95,1,0.95,0.95,1
jais-family-13b-chat-,0.63,,0.1,0.15,0.4,0.35,0.37,0.55,0.1,0.25,0.3,0.75,0.6,0.55,0.15,0.5,0.75,0.6,0.45,0.35,0.3,0.79,0.9,0.2,0.3,0.7,0.45,0.75,0.55,0.85,0.67,0.75,0.65,0.8,0.45,0.95,0.8,0.75,0.45,0.75,0.75,0.8,0.85,0.65,0.8,,0.65,0.85,0.7,0.95,0.8,0.85,0.95,1,1,1,0.96,0.95
mistral-7b-instruct-v0.1,0.55,,,0.13,0.3,0.5,0.42,0.15,0.15,,0.35,0.35,0.6,0.5,0.3,0.5,0.65,0.7,0.25,0.45,0.4,0.72,0.6,0.05,0.45,0.75,,0.7,0.3,0.8,0.42,0.85,0.8,0.81,0.2,0.95,0.25,0.85,0.6,0,0.65,0.7,0.2,0.85,0.95,0.9,0.7,0.8,0.15,0.75,,,0.79,0.95,0.9,1,0.96,0.95
Row_Avg,0.77,,0.4,0.45,0.45,0.45,0.47,0.49,0.54,0.55,0.57,0.61,0.62,0.63,0.64,0.65,0.69,0.7,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.79,0.79,0.8,0.8,0.81,0.82,0.82,0.83,0.83,0.83,0.86,0.86,0.87,0.89,0.9,0.9,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.94,0.94,0.95,0.96,0.96,0.97,0.99,0.99,0.99,0.99
